epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.21898581087589264,0.0010000000474974513,1.9617093801498413,0.23415811359882355,1.6474639177322388
1,0.2401147037744522,0.0010000000474974513,1.767562747001648,0.2438141256570816,1.6284661293029785
2,0.2819197177886963,0.0010000000474974513,1.659311056137085,0.3240796625614166,1.6085184812545776
3,0.29172953963279724,0.0010000000474974513,1.6204924583435059,0.369342178106308,1.586804986000061
4,0.31632959842681885,0.0010000000474974513,1.5771490335464478,0.34580567479133606,1.555959939956665
5,0.3364020586013794,0.0010000000474974513,1.5352739095687866,0.40494871139526367,1.5186219215393066
6,0.36160579323768616,0.0010000000474974513,1.5000944137573242,0.44417622685432434,1.4729995727539062
7,0.38650768995285034,0.0010000000474974513,1.4550604820251465,0.44598671793937683,1.4300894737243652
8,0.39797765016555786,0.0010000000474974513,1.4357483386993408,0.4520217180252075,1.399385929107666
9,0.40597644448280334,0.0010000000474974513,1.418019413948059,0.4622812271118164,1.3802382946014404
10,0.420766681432724,0.0010000000474974513,1.4036333560943604,0.47133374214172363,1.3592784404754639
11,0.41865378618240356,0.0010000000474974513,1.3818470239639282,0.4689197242259979,1.3416422605514526
12,0.43676427006721497,0.0010000000474974513,1.3680830001831055,0.4773687422275543,1.3247244358062744
13,0.4467250108718872,0.0010000000474974513,1.3500090837478638,0.48581773042678833,1.3104214668273926
14,0.4517053961753845,0.0010000000474974513,1.335961937904358,0.48581773042678833,1.3050342798233032
15,0.4600060284137726,0.0010000000474974513,1.322706937789917,0.4894387423992157,1.2884254455566406
16,0.4702686369419098,0.0010000000474974513,1.299445629119873,0.49004223942756653,1.2786662578582764
17,0.47358888387680054,0.0010000000474974513,1.294799566268921,0.4954737424850464,1.2670705318450928
18,0.4843042492866516,0.0010000000474974513,1.280956506729126,0.48883524537086487,1.2618011236190796
19,0.4892846345901489,0.0010000000474974513,1.275054931640625,0.5057332515716553,1.2466322183609009
20,0.4871717393398285,0.0010000000474974513,1.2643389701843262,0.5123717784881592,1.2289999723434448
21,0.5031693577766418,0.0010000000474974513,1.2534254789352417,0.5135787725448608,1.2293320894241333
22,0.5155448317527771,0.0010000000474974513,1.22306227684021,0.5280627608299255,1.2061840295791626
